TEXT-ID	TYPE
Artur-N-G5078-P600075	NZ
Artur-N-G5078-P600076	NZ
Artur-N-G5079-P600075	NZ
Artur-N-G5079-P600077	NZ
Artur-N-G5080-P600781	NZ
Artur-N-G5081-P600791	NZ
Artur-N-G5082-P600080	NZ
Artur-N-G5082-P600081	NZ
Artur-N-G5083-P600080	NZ
Artur-N-G5083-P600082	NZ
Artur-N-G5084-P600831	NZ
Artur-N-G5085-P600841	NZ
Artur-N-G5087-P600861	NZ
Artur-N-G5088-P600087	NZ
Artur-N-G5088-P600088	NZ
Artur-N-G5089-P600087	NZ
Artur-N-G5089-P600089	NZ
Artur-N-G5091-P600911	NZ
Artur-N-G5093-P600921	NZ
Artur-N-G5097-P600096	NZ
Artur-N-G5098-P600098	NZ
Artur-N-G5099-P600100	NZ
Artur-N-G5100-P600102	NZ
Artur-N-G5132-P601311	NZ
Artur-N-G5133-P601321	NZ
Artur-N-G5134-P600133	NZ
Artur-N-G5134-P600134	NZ
Artur-N-G6001-P600102	NZ
Artur-N-G6003-P003004	NZ
Artur-N-G6007-P600702	NZ
Artur-N-G6009-P600902	NZ
Artur-N-G6011-P601102	NZ
Artur-N-G6012-P601201	NZ
Artur-N-G6014-P601402	NZ
Artur-N-G6025-P602501	NZ
Artur-N-G6026-P602602	NZ
Artur-N-G6027-P602701	NZ
Artur-N-G6031-P603102	NZ
Artur-N-G6037-P603702	NZ
Artur-N-G6038-P603802	NZ
Artur-N-G6040-P604002	NZ
Artur-N-G6043-P604301	NZ
Artur-N-G6044-P604402	NZ
Artur-N-G6045-P604501	NZ
Artur-N-G6046-P604602	NZ
Artur-N-G6047-P604702	NZ
Artur-N-G6050-P605001	NZ
Artur-N-G6051-P605101	NZ
Artur-N-G6052-P605202	NZ
Artur-N-G6053-P605302	NZ
Artur-N-G6055-P605501	NZ
Artur-N-G6057-P605701	NZ
Artur-N-G6059-P605901	NZ
Artur-N-G6060-P606001	NZ
Artur-N-G6061-P606102	NZ
Artur-N-G6063-P606301	NZ
Artur-N-G6068-P606801	NZ
Artur-N-G6069-P606901	NZ
Artur-N-G6070-P607002	NZ
Artur-N-G6072-P607202	NZ
Artur-N-G6074-P607402	NZ
Artur-N-G6077-P607701	NZ
Artur-N-G6078-P607801	NZ
Artur-N-G6080-P608002	NZ
Artur-N-G6081-P608101	NZ
Artur-N-G6082-P608201	NZ
Artur-N-G6083-P608301	NZ
Artur-N-G6084-P608401	NZ
Artur-N-G6085-P608502	NZ
Artur-N-G6086-P608602	NZ
Artur-N-G6087-P608702	NZ
Artur-N-G6088-P608802	NZ
Artur-N-G6092-P609202	NZ
Artur-N-G6093-P609301	NZ
Artur-N-G6094-P609401	NZ
