who,numw,file,textdesc,speech,PRS-ID,PERM-RESD,CHILD-RESD,SEX,AGE,DOMAIN,CHANNEL,SUBCORPUS,TYPE
Artur-J-G3056,689,Iriss-J-Gvecg-P500026.xml,okrogla miza,J-Gvecg-P500026,Artur-J-G3056,savinjska,savinjska,moški,30 do 59 let,okrogla miza,osebni stik,Artur-J,informativno-izobraževalni
Artur-J-G3057,67,Iriss-J-Gvecg-P500026.xml,okrogla miza,J-Gvecg-P500026,Artur-J-G3057,posavska,posavska,ženski,30 do 59 let,okrogla miza,osebni stik,Artur-J,informativno-izobraževalni
Artur-N-G6083,665,Iriss-N-G6083-P608301.xml,prosti monološki govor,N-G6083-P608301,Artur-N-G6083,goriška,-,ženski,18 do 34 let,prosti monološki govor,osebni stik,Artur-N,zasebni
Artur-P-G7155,705,Iriss-P-G7155-P700259.xml,seja državnega zbora,P-G7155-P700259,Artur-P-G7155,-,-,ženski,-,seja državnega zbora,osebni stik,Artur-P,informativno-izobraževalni
Artur-N-G6112,710,Iriss-N-G6112-P611202.xml,razlaganje in opisovanje,N-G6112-P611202,Artur-N-G6112,osrednjeslovenska,-,moški,18 do 34 let,razlaganje in opisovanje,osebni stik,Artur-N,zasebni
Artur-J-G3018,40,Iriss-J-Gvecg-P500014.xml,spletni dogodek,J-Gvecg-P500014,Artur-J-G3018,-,-,ženski,-,spletni dogodek,internet,Artur-J,informativno-izobraževalni
Artur-J-G3020,787,Iriss-J-Gvecg-P500014.xml,spletni dogodek,J-Gvecg-P500014,Artur-J-G3020,osrednjeslovenska,osrednjeslovenska,ženski,30 do 59 let,spletni dogodek,internet,Artur-J,informativno-izobraževalni
Artur-N-G6060,736,Iriss-N-G6060-P606001.xml,prosti monološki govor,N-G6060-P606001,Artur-N-G6060,goriška,-,ženski,30 do 59 let,prosti monološki govor,osebni stik,Artur-N,zasebni
Artur-N-G6116,725,Iriss-N-G6116-P611601.xml,prosti monološki govor,N-G6116-P611601,Artur-N-G6116,osrednjeslovenska,osrednjeslovenska,moški,30 do 59 let,prosti monološki govor,osebni stik,Artur-N,zasebni
Artur-J-G4602,113,Iriss-J-Gvecg-P580051.xml,spletni dogodek,J-Gvecg-P580051,Artur-J-G4602,jugovzhodna Slovenija,jugovzhodna Slovenija,moški,30 do 59 let,spletni dogodek,internet,Artur-J,informativno-izobraževalni
Artur-J-G4604,653,Iriss-J-Gvecg-P580051.xml,spletni dogodek,J-Gvecg-P580051,Artur-J-G4604,podravska,podravska,moški,nad 60 let,spletni dogodek,internet,Artur-J,informativno-izobraževalni
Artur-J-G4605,61,Iriss-J-Gvecg-P580051.xml,spletni dogodek,J-Gvecg-P580051,Artur-J-G4605,goriška,goriška,moški,30 do 59 let,spletni dogodek,internet,Artur-J,informativno-izobraževalni
Artur-J-G3109,167,Iriss-J-Gvecg-P500054.xml,okrogla miza,J-Gvecg-P500054,Artur-J-G3109,primorsko-notranjska,primorsko-notranjska,moški,30 do 59 let,okrogla miza,osebni stik,Artur-J,informativno-izobraževalni
Artur-J-G3110,664,Iriss-J-Gvecg-P500054.xml,okrogla miza,J-Gvecg-P500054,Artur-J-G3110,osrednjeslovenska,osrednjeslovenska,ženski,30 do 59 let,okrogla miza,osebni stik,Artur-J,informativno-izobraževalni
Artur-J-G3137,671,Iriss-J-Gvecg-P500064.xml,okrogla miza,J-Gvecg-P500064,Artur-J-G3137,-,-,moški,nad 60 let,okrogla miza,osebni stik,Artur-J,informativno-izobraževalni
Artur-J-G3139,194,Iriss-J-Gvecg-P500064.xml,okrogla miza,J-Gvecg-P500064,Artur-J-G3139,osrednjeslovenska,-,ženski,30 do 59 let,okrogla miza,osebni stik,Artur-J,informativno-izobraževalni
Artur-N-G5019,199,Iriss-N-G5019-P600012.xml,prosti dialog med dvema sogovornikoma,N-G5019-P600012,Artur-N-G5019,podravska,-,moški,30 do 59 let,prosti dialog med dvema sogovornikoma,osebni stik,Artur-N,zasebni
Artur-J-G4521,568,Iriss-J-Gvecg-P580041.xml,intervju,J-Gvecg-P580041,Artur-J-G4521,osrednjeslovenska,-,moški,30 do 59 let,intervju,radio,Artur-J,informativno-izobraževalni
Artur-J-G4531,265,Iriss-J-Gvecg-P580041.xml,intervju,J-Gvecg-P580041,Artur-J-G4531,savinjska,-,ženski,nad 60 let,intervju,radio,Artur-J,informativno-izobraževalni
Artur-N-G5020,576,Iriss-N-G5020-P600012.xml,prosti dialog med dvema sogovornikoma,N-G5020-P600012,Artur-N-G5020,podravska,-,ženski,30 do 59 let,prosti dialog med dvema sogovornikoma,osebni stik,Artur-N,zasebni
Artur-N-G6043,721,Iriss-N-G6043-P604301.xml,prosti monološki govor,N-G6043-P604301,Artur-N-G6043,primorsko-notranjska,-,moški,30 do 59 let,prosti monološki govor,osebni stik,Artur-N,zasebni
Artur-J-G4530,590,Iriss-J-Gvecg-P580003.xml,intervju,J-Gvecg-P580003,Artur-J-G4530,osrednjeslovenska,-,moški,30 do 59 let,intervju,radio,Artur-J,informativno-izobraževalni
Artur-J-G4531,266,Iriss-J-Gvecg-P580003.xml,intervju,J-Gvecg-P580003,Artur-J-G4531,savinjska,-,ženski,nad 60 let,intervju,radio,Artur-J,informativno-izobraževalni
Artur-N-G5025,374,Iriss-N-G5025-P600021.xml,prosti dialog med dvema sogovornikoma,N-G5025-P600021,Artur-N-G5025,pomurska,-,ženski,nad 60 let,prosti dialog med dvema sogovornikoma,osebni stik,Artur-N,zasebni
Artur-J-G3062,412,Iriss-J-Gvecg-P500028.xml,okrogla miza,J-Gvecg-P500028,Artur-J-G3062,-,-,moški,-,okrogla miza,osebni stik,Artur-J,informativno-izobraževalni
Artur-J-G3063,402,Iriss-J-Gvecg-P500028.xml,okrogla miza,J-Gvecg-P500028,Artur-J-G3063,goriška,goriška,moški,30 do 59 let,okrogla miza,osebni stik,Artur-J,informativno-izobraževalni
