TEXT-ID	SOURCE-ID	RECORDING-ID	SUBCORPUS	PRS-ID	SEX	AGE	1LANG	DIALECT	EDUCATION	PERM-RESD	CHILD-RESD	SENTENCES	WORDS
Rog-Art-N-G6031-P603102	Artur-N-G6031-P603102	Artur-N-G6031-P603102.wav	Artur-N	Artur-N-G6031	moški	18 do 34 let	slovenščina	standardni jezik	srednja šola	jugovzhodna Slovenija	-	26	922
Rog-Art-N-G6043-P604301	Artur-N-G6043-P604301	Artur-N-G6043-P604301.wav	Artur-N	Artur-N-G6043	moški	30 do 59 let	slovenščina	pogovorni jezik	srednja šola	primorsko-notranjska	-	40	922
Rog-Art-N-G6047-P604702	Artur-N-G6047-P604702	Artur-N-G6047-P604702.wav	Artur-N	Artur-N-G6047	moški	18 do 34 let	slovenščina	pogovorni jezik	srednja šola	gorenjska	-	41	844
Rog-Art-N-G6060-P606001	Artur-N-G6060-P606001	Artur-N-G6060-P606001.wav	Artur-N	Artur-N-G6060	ženski	30 do 59 let	slovenščina	pogovorni jezik	fakulteta ali več	goriška	-	31	915
Rog-Art-N-G6083-P608301	Artur-N-G6083-P608301	Artur-N-G6083-P608301.wav	Artur-N	Artur-N-G6083	ženski	18 do 34 let	slovenščina	pogovorni jezik	višja ali visoka šola	goriška	-	39	861
Rog-Art-N-G6100-P610002	Artur-N-G6100-P610002	Artur-N-G6100-P610002.wav	Artur-N	Artur-N-G6100	moški	30 do 59 let	slovenščina	pogovorni jezik	višja ali visoka šola	osrednjeslovenska	-	23	965
Rog-Art-N-G6103-P610302	Artur-N-G6103-P610302	Artur-N-G6103-P610302.wav	Artur-N	Artur-N-G6103	ženski	18 do 34 let	slovenščina	pogovorni jezik	srednja šola	goriška	-	25	931
Rog-Art-N-G6112-P611202	Artur-N-G6112-P611202	Artur-N-G6112-P611202.wav	Artur-N	Artur-N-G6112	moški	18 do 34 let	slovenščina	pogovorni jezik	srednja šola	osrednjeslovenska	-	35	871
Rog-Art-N-G6116-P611601	Artur-N-G6116-P611601	Artur-N-G6116-P611601.wav	Artur-N	Artur-N-G6116	moški	30 do 59 let	slovenščina	narečje	višja ali visoka šola	-	osrednjeslovenska	48	930
Rog-Art-P-G7001-P700192	Artur-P-G7001-P700192	Artur-P-G7001-P700192.wav	Artur-P	Artur-P-G7001	ženski	-	slovenščina	-	-	-	-	39	854
Rog-Art-P-G7002-P700444	Artur-P-G7002-P700444	Artur-P-G7002-P700444.wav	Artur-P	Artur-P-G7002	moški	-	slovenščina	-	-	-	-	34	819
Rog-Art-P-G7036-P701111	Artur-P-G7036-P701111	Artur-P-G7036-P701111.wav	Artur-P	Artur-P-G7036	ženski	-	slovenščina	-	-	-	-	43	858
Rog-Art-P-G7065-P701064	Artur-P-G7065-P701064	Artur-P-G7065-P701064.wav	Artur-P	Artur-P-G7065	moški	-	slovenščina	-	-	-	-	31	825
Rog-Art-P-G7155-P700259	Artur-P-G7155-P700259	Artur-P-G7155-P700259.wav	Artur-P	Artur-P-G7155	ženski	-	slovenščina	-	-	-	-	3	816
Rog-Art-P-G7165-P700926	Artur-P-G7165-P700926	Artur-P-G7165-P700926.wav	Artur-P	Artur-P-G7165	moški	-	slovenščina	-	-	-	-	34	893
