TEXT-ID	SUBCORPUS	TITLE	DATE	SOURCE	URL	TEXT-REGION	DOMAIN	TYPE	CHANNEL	SPK-IDsUTTS	SEGS	WORDS
Rog-Art-J-Gvecg-P580021	Artur-J	Artur-J-Gvecg-P580021	2020-02	Radio Štajerski val	-	Šentjur	intervju	informativno-izobraževalni	radio	Artur-J-G4544, Artur-J-G4552	38	296
Rog-Art-J-Gvecg-P580022	Artur-J	Artur-J-Gvecg-P580022	2020-03	Radio Štajerski val	-	Šentjur	intervju	informativno-izobraževalni	radio	Artur-J-G4529, Artur-J-G4553	69	367
Rog-Art-J-Gvecg-P580023	Artur-J	Artur-J-Gvecg-P580023	2020-02	Radio Štajerski val	-	Šentjur	intervju	informativno-izobraževalni	radio	Artur-J-G4544, Artur-J-G4554	65	330
Rog-Art-J-Gvecg-P580024	Artur-J	Artur-J-Gvecg-P580024	2020-03	Radio Štajerski val	-	Šentjur	intervju	informativno-izobraževalni	radio	Artur-J-G4531, Artur-J-G4555	103	380
Rog-Art-J-Gvecg-P580025	Artur-J	Artur-J-Gvecg-P580025	2020-12	Radio Štajerski val	-	Šentjur	intervju	informativno-izobraževalni	radio	Artur-J-G4556, Artur-J-G4539	24	259
Rog-Art-J-Gvecg-P580026	Artur-J	Artur-J-Gvecg-P580026	2020-02	Radio Štajerski val	-	Šentjur	intervju	informativno-izobraževalni	radio	Artur-J-G4531, Artur-J-G4557	100	408
Rog-Art-J-Gvecg-P580027	Artur-J	Artur-J-Gvecg-P580027	2020-01	Radio Štajerski val	-	Šentjur	intervju	informativno-izobraževalni	radio	Artur-J-G4531, Artur-J-G4558	171	525
Rog-Art-J-Gvecg-P580028	Artur-J	Artur-J-Gvecg-P580028	2021-04	Univerza v Mariboru	https://nas.cjvt.si/index.php/apps/files/?dir=/ASR/JavniGovor/JavniGovor-01-FERI-IzvorniPosnetki-bkp&fileid=1452584	Maribor	spletni dogodek	informativno-izobraževalni	internet	Artur-J-G4559, Artur-J-G4567, Artur-J-G4573, Artur-J-G4500, Artur-J-G4560, Artur-J-G3006, Artur-J-G4561, Artur-J-G4562, Artur-J-G4563, Artur-J-G4564, Artur-J-G4565, Artur-J-G4566	249	3228
Rog-Art-J-Gvecg-P580029	Artur-J	Artur-J-Gvecg-P580029	2021-04	Univerza v Mariboru	https://nas.cjvt.si/index.php/apps/files/?dir=/ASR/JavniGovor/JavniGovor-01-FERI-IzvorniPosnetki-bkp&fileid=1452584	Maribor	spletni dogodek	informativno-izobraževalni	internet	Artur-J-G4568, Artur-J-G4572, Artur-J-G4569, Artur-J-G4573, Artur-J-G4574, Artur-J-G4575, Artur-J-G4570, Artur-J-G4576, Artur-J-G4577	162	1831
Rog-Art-J-Gvecg-P580030	Artur-J	Artur-J-Gvecg-P580030	2021-04	Univerza v Mariboru	https://nas.cjvt.si/index.php/apps/files/?dir=/ASR/JavniGovor/JavniGovor-01-FERI-IzvorniPosnetki-bkp&fileid=1452584	Maribor	spletni dogodek	informativno-izobraževalni	internet	Artur-J-G4562, Artur-J-G4578, Artur-J-G4579, Artur-J-G4580, Artur-J-G4581, Artur-J-G4582, Artur-J-G4577, Artur-J-G4583, Artur-J-G4584, Artur-J-G4573	144	1722
Rog-Art-J-Gvecg-P580031	Artur-J	Artur-J-Gvecg-P580031	2021-01	Radio Štajerski val	-	Šentjur	intervju	informativno-izobraževalni	radio	Artur-J-G4531, Artur-J-G4511	78	547
Rog-Art-J-Gvecg-P580032	Artur-J	Artur-J-Gvecg-P580032	2021-03	Radio Štajerski val	-	Šentjur	intervju	informativno-izobraževalni	radio	Artur-J-G4539, Artur-J-G4512	47	395
Rog-Art-J-Gvecg-P580033	Artur-J	Artur-J-Gvecg-P580033	2021-03	Radio Štajerski val	-	Šentjur	intervju	informativno-izobraževalni	radio	Artur-J-G4544, Artur-J-G4513	45	274
