TEXT-ID	SUBCORPUS	TITLE	DATE	SOURCE	URL	TEXT-REGION	DOMAIN	TYPE	CHANNEL	SENTENCES	WORDS	SPK-IDsUTTS
Gos051	Gos	Učna ura slovenščine v gimnaziji. Obravnavali so književnost, poezijo. Med uro so obnavljali, kar so se naučili v preteklih urah.	2010-03	lastni posnetek	-	Kranj	gimnazija, družboslovje	informativno-izobraževalni	osebni stik	15	182	Jf-ucen-07133 Pn-vsiucenci-10000 Hf-ucen-07131 Af-prof-07124 Gf-ucen-07130 Kf-ucen-07134
Gos052	Gos	Drugi letnik gimnazije	2009-12	lastni posnetek	-	Ivančna Gorica	gimnazija, družboslovje	informativno-izobraževalni	osebni stik	10	102	Am-prof-07057 Gm-ucen-07063
Gos053	Gos	Prvi letnik gimnazije, kemija. Najprej so ponovili snov prejšnje učne ure - zgradbo atoma, nato so se pogovarjali o eksperimentu s pospeševalnikom delcev v Cernu in začeli obravnavati elektrone v elektronskem ovoju.	2009-12	lastni posnetek	-	Ivančna Gorica	gimnazija, naravoslovje	informativno-izobraževalni	osebni stik	21	112	Pm-ucen-07052 Dm-ucen-07041 Af-prof-07037 Ff-ucen-07043 Jm-ucen-07047 Nm-ucen-07038
Gos054	Gos	Prvi letnik poklicne srednje šole, geografija. Tema so Alpe s predalpskim svetom, govorili so o gospodarstvu, poselitvi, pomembnosti regije in razdelitvi regij.	2009-12	lastni posnetek	-	Ljubljana	poklicna strokovna, družboslovje	informativno-izobraževalni	osebni stik	12	92	Pn-vsiucenci-10000 Dm-ucen-07079 Am-prof-07076 Gf-ucen-07082
Gos055	Gos	Prvi letnik poklicne srednje šole, slovenščina. Najprej so ponovili snov - razlika med uradnimi in neuradnimi besedili. Nato so začeli novo temo - besedila glede na namen. Iz učbenika so prebrali nekaj besedil in jih poskušali razvrstiti po namenu (vabilo, predstavitev, izražanje čustvenega odnosa itd.).	2009-12	lastni posnetek	-	Ljubljana	poklicna strokovna, družboslovje	informativno-izobraževalni	osebni stik	13	121	Cm-ucen-07087 Kf-ucen-07095 Bm-ucen-07086 Af-prof-07085
Gos056	Gos	Šolska ura psihologije v četrtem letniku poklicne šole, profesor sprašuje o mišljenju, ustvarjalnosti itd.	2009-12	lastni posnetek	-	Ivančna Gorica	poklicna strokovna, družboslovje	informativno-izobraževalni	osebni stik	20	143	Bm-prof-02332 Ef-ucen-02335 Af-ucen-02331 Cm-ucen-02333 If-ucen-02339
Gos057	Gos	Učna ura v 4. letniku srednje ekonomske šole, psihologija. Učitelj sprašuje učence, teme so: čustva, konflikti itd. Ostali učenci med uro večino časa precej na glas klepetajo.	2010-03	lastni posnetek	-	Ljubljana	poklicna strokovna, družboslovje	informativno-izobraževalni	osebni stik	14	110	Cm-ucen-07141 Am-prof-07143 Em-ucen-07144
Gos058	Gos	Šolska ura matematike v tretjem letniku poklicne srednje šole, priprave na test.	2010-03	lastni posnetek	-	Ljubljana	poklicna strokovna, naravoslovje	informativno-izobraževalni	osebni stik	19	147	Am-prof-02300 Lm-ucen-02311
Gos059	Gos	Učna ura slovenščine v 3. letniku gimnazije. Tema je povedek.	2010-01	lastni posnetek	-	Slovenske Konjice	gimnazija, družboslovje	informativno-izobraževalni	osebni stik	17	123	Pn-vsiucenci-10000 Af-prof-02185 Mf-ucen-02197 Rm-ucen-02201
Gos060	Gos	Učna ura matematike v 4. letniku gimnazije. Reševanje vaj in utrjevanje snovi.	2010-01	lastni posnetek	-	Slovenske Konjice	gimnazija, naravoslovje	informativno-izobraževalni	osebni stik	19	132	Cf-ucen-02206 Df-ucen-02207 Bf-ucen-02205 Af-prof-02204
Gos061	Gos	Učna ura v poklicni strokovni šoli, prvi letnik, slovenščina. Obravnavajo književnost srednjega veka.	2010-07	lastni posnetek	-	Maribor	poklicna strokovna, družboslovje	informativno-izobraževalni	osebni stik	19	175	Pn-vsiucenci-10000 Hm-ucen-05575 Bm-ucen-05569 Gm-ucen-05574 Af-prof-05568
Gos062	Gos	Ura kemije v prvem letniku srednje šole programa elektrotehnike, o zgradbi trdih snovi.	2009-12	lastni posnetek	-	Maribor	poklicna strokovna, naravoslovje	informativno-izobraževalni	osebni stik	16	145	Km-ucen-02184 Em-ucen-02178 Af-prof-02174
Gos063	Gos	Šolska ura tretjega letnika srednje poklicne šole, v kateri obravnavajo sestavo digitalnega vezja.	2009-12	lastni posnetek	-	Maribor	poklicna strokovna, naravoslovje	informativno-izobraževalni	osebni stik	13	126	Dm-ucen-07161 Fm-ucen-07162 Am-prof-07158
Gos064	Gos	Vrnitev ženske, žrtve nasilja v družini, na njen dom.	2009-06	-	-	Ljubljana	PopTV, Preverjeno	informativno-izobraževalni	televizija	2	38	Af-novi-00501 Em-inte-00505
Gos065	Gos	Pregled politične kariere znanega slovenskega politika.	2009-05	-	-	Ljubljana	PopTV, Preverjeno	informativno-izobraževalni	televizija	1	37	Bm-inte-02501
Gos066	Gos	Reportaža o prevarantskih podjetnikih.	2009-05	-	-	Ljubljana	PopTV, Preverjeno	informativno-izobraževalni	televizija	4	53	Bf-anke-01503 Df-novi-01501
Gos067	Gos	Doživetje ljubljanskega boljšjega s sejma z enim od prodajalcev na sejmu.	2009-05	-	-	Ljubljana	PopTV, Preverjeno	informativno-izobraževalni	televizija	4	40	Bm-nast-02030 Af-novi-02029
Gos068	Gos	Pomanjkanje dijakov na šolah z lesarskimi smermi.	2009-05	-	-	Ljubljana	PopTV, Preverjeno	informativno-izobraževalni	televizija	2	48	Jf-novi-02509 Km-inte-02510
Gos069	Gos	Nevarna šolska pot v Biščah pri Domžalah.	2009-05	-	-	Ljubljana	PopTV, Preverjeno	informativno-izobraževalni	televizija	4	47	Bf-novi-01501 Hm-anke-04506
Gos070	Gos	Redno zaposleni duhovniki tudi v bolnišnicah in zaporih.	2009-05	-	-	Ljubljana	PopTV, Preverjeno	informativno-izobraževalni	televizija	1	30	Am-novi-05505
Gos071	Gos	Ženske v politiki.	2009-05	-	-	Ljubljana	PopTV, Preverjeno	informativno-izobraževalni	televizija	1	70	Ff-inte-05516
Gos072	Gos	Predvolilno soočenje predsednikov strank.	2009-12	-	-	Ljubljana	PopTV, predvolilna	informativno-izobraževalni	televizija	14	316	Af-novi-03507 Km-gost-02172 Gm-gost-05581
Gos073	Gos	Oddaja z gosti o prodaji večinskega deleža večjega slovenskega trgovskega podjetja.	2009-11	-	-	Ljubljana	PopTV, Trenja	informativno-izobraževalni	televizija	20	386	Lm-gost-02115 Am-novi-02535 Hm-gost-03510 Im-gost-03517
Gos074	Gos	Oddaja o ministrski ekipi nove vlade.	2009-06	-	-	Ljubljana	PopTV, Trenja	informativno-izobraževalni	televizija	18	157	Pm-gost-02549 Bm-nast-02536 Am-novi-02535 Qm-gost-02550
Gos075	Gos	Ameriške predsedniške volitve.	2009-04	-	-	Ljubljana	PopTV, 24ur	informativno-izobraževalni	televizija	2	29	Nf-novi-03502
Gos076	Gos	Grafiti na cerkvi.	2009-04	-	-	Ljubljana	PopTV, 24ur	informativno-izobraževalni	televizija	1	11	Mm-novi-03001
Gos077	Gos	Krajani zahtevali zaprtje deponije gum v Kidričevem.	2009-04	-	-	Ljubljana	PopTV, 24ur	informativno-izobraževalni	televizija	1	35	Af-novi-02001
Gos078	Gos	Prispevek o novem mandatarju.	2009-04	-	-	Ljubljana	PopTV, 24ur	informativno-izobraževalni	televizija	1	16	Af-novi-02006
Gos079	Gos	Popust za upokojence.	2009-04	-	-	Ljubljana	PopTV, 24ur	informativno-izobraževalni	televizija	1	11	Bf-anke-02011
Gos080	Gos	Poslanci Desusa pripravljeni vstopiti v vlado tudi brez svojega predsednika.	2009-04	-	-	Ljubljana	PopTV, 24ur	informativno-izobraževalni	televizija	1	34	Dm-nast-03508
Gos081	Gos	Prisilni dopust v podjetju usnja.	2009-04	-	-	Ljubljana	PopTV, 24ur	informativno-izobraževalni	televizija	1	11	Sm-inte-03525
Gos082	Gos	Svinčnik predelan v orožje.	2009-05	-	-	Ljubljana	PopTV, 24ur	informativno-izobraževalni	televizija	1	27	Mf-inte-04504
Gos083	Gos	Impro liga v Ljubljani.	2009-05	-	-	Ljubljana	PopTV, 24ur	informativno-izobraževalni	televizija	1	23	Rm-anke-01514
Gos084	Gos	Novi predsednik ZDA.	2009-05	-	-	Ljubljana	PopTV, 24ur	informativno-izobraževalni	televizija	2	19	Em-novi-03501
Gos085	Gos	O pridržanih vinjenih voznikih.	2009-09	-	-	Ljubljana	PopTV, 24ur	informativno-izobraževalni	televizija	1	20	Bm-inte-05001
Gos086	Gos	Požar v kliničnem centru.	2009-05	-	-	Ljubljana	PopTV, 24ur	informativno-izobraževalni	televizija	1	25	Bm-anke-01520
Gos087	Gos	Predsednik Slovenije o zmagi novega ameriškega predsednika.	2009-04	-	-	Ljubljana	PopTV, 24ur	informativno-izobraževalni	televizija	1	27	Dm-inte-02007
Gos088	Gos	Priznanja za hrabrost.	2009-05	-	-	Ljubljana	PopTV, 24ur	informativno-izobraževalni	televizija	1	28	Af-novi-00001
Gos089	Gos	Prodaja večjega slovenskega trgovskega podjetja tujcem.	2009-04	-	-	Ljubljana	PopTV, 24ur	informativno-izobraževalni	televizija	3	34	Pf-novi-03503
Gos090	Gos	Slovenska sončna elektrarna.	2009-04	-	-	Ljubljana	PopTV, 24ur	informativno-izobraževalni	televizija	1	20	Pm-inte-03513
Gos091	Gos	Znani slovenski novinar v studiu komentira izbor novega ameriškega predsednika.	2009-04	-	-	Ljubljana	PopTV, 24ur	informativno-izobraževalni	televizija	1	24	Vm-gost-03514
Gos092	Gos	Visoke temperature motijo ritem živali.	2009-05	-	-	Ljubljana	PopTV, 24ur	informativno-izobraževalni	televizija	1	16	Bm-nast-04001
Gos093	Gos	Zaposleni v davčni upravi razburjeni.	2009-04	-	-	Ljubljana	PopTV, 24ur	informativno-izobraževalni	televizija	1	23	Nf-inte-03523
Gos094	Gos	Nova vlada skoraj oblikovana.	2009-04	-	-	Ljubljana	PopTV, 24ur	informativno-izobraževalni	televizija	1	31	Sf-novi-02006
Gos095	Gos	Nove podražitve.	2009-05	-	-	Ljubljana	PopTV, 24ur	informativno-izobraževalni	televizija	1	24	Am-anke-01518
Gos096	Gos	Pocenitev zdravil.	2009-05	-	-	Ljubljana	PopTV, 24ur	informativno-izobraževalni	televizija	1	11	Bf-inte-05502
Gos097	Gos	Policija pridržala 176 voznikov na Martinov konec tedna.	2009-04	-	-	Ljubljana	PopTV, 24ur	informativno-izobraževalni	televizija	1	44	Rm-inte-03531
Gos098	Gos	Razdelitev resorjev v novi vladi.	2009-04	-	-	Ljubljana	PopTV, 24ur	informativno-izobraževalni	televizija	1	11	Kf-novi-03516
Gos099	Gos	Sodba v prid učitelju.	2009-06	-	-	Ljubljana	PopTV, 24ur	informativno-izobraževalni	televizija	1	19	Am-inte-03538
Gos100	Gos	Svetovno prvenstvo v bodybuildingu na Obali.	2010-07	-	-	Ljubljana	PopTV, 24ur	informativno-izobraževalni	televizija	1	31	Am-novi-05591
Gos101	Gos	Težave v vladi z dvema resorjema.	2009-04	-	-	Ljubljana	PopTV, 24ur	informativno-izobraževalni	televizija	1	32	Sm-inte-03504
Gos102	Gos	Učitelji najverjetneje ne bodo tožili.	2009-04	-	-	Ljubljana	PopTV, 24ur	informativno-izobraževalni	televizija	1	36	Pf-novi-03534
Gos103	Gos	Vreme vpliva na počutje.	2009-05	-	-	Ljubljana	PopTV, 24ur	informativno-izobraževalni	televizija	1	22	Bm-anke-02024
Gos104	Gos	Zdravilo proti raku na želodcu.	2009-10	-	-	Ljubljana	PopTV, 24ur	informativno-izobraževalni	televizija	1	17	Gm-inte-01602
Gos105	Gos	Snemanje spota o omejeni rabi antibiotikov.	2008-10	-	-	Ljubljana	PopTV, 24ur	informativno-izobraževalni	televizija	1	9	Dm-anke-00027
Gos106	Gos	Televizijski prispevek o smrti pevke Miriam Makeba.	2009-09	-	-	Ljubljana	PopTV, 24ur	informativno-izobraževalni	televizija	1	34	Jf-novi-04532
Gos107	Gos	Afera Patria.	2009-09	-	-	Ljubljana	PopTV, 24ur	informativno-izobraževalni	televizija	1	20	Xm-novi-00010
Gos108	Gos	Banke slabo kreditirajo gospodarstvo.	-	-	-	Ljubljana	PopTV, 24ur	informativno-izobraževalni	televizija	2	13	Am-anke-00008
Gos109	Gos	Komentar člana vrhovnega sodišča o odločbi sodišča.	2009-04	-	-	Ljubljana	PopTV, 24ur	informativno-izobraževalni	televizija	2	66	Af-novi-03507
Gos110	Gos	Kršenje delovnih pravic.	2009-04	-	-	Ljubljana	PopTV, 24ur	informativno-izobraževalni	televizija	1	38	Ef-novi-04501
Gos111	Gos	Sestanek kandidatov za ministre.	2009-09	-	-	Ljubljana	PopTV, 24ur	informativno-izobraževalni	televizija	2	15	Pf-anke-00019
Gos112	Gos	Družinska tragedija v Brežicah.	2009-09	-	-	Ljubljana	PopTV, 24ur	informativno-izobraževalni	televizija	3	20	Tf-anke-00003 Kf-novi-00001
